Mountain,Metres,Feet,Range,Location
Mount Rainier,4392,14409,,"Cascades, Washington, US"
Apharwat Peak,4390,14403,,"Gulmarg, India (Jammu and Kashmir)"
Kholeno,4387,14393,,"Alborz, Iran"
Mount Williamson,4382,14377,,"Sierra Nevada, California, US"
Tavan Bogd Uul,4374,14350,,"Bayan-Ölgii Province, Mongolia – Highest point in Mongolia"
Blanca Peak,4374,14350,,"Rocky Mountains, Colorado, US"
La Plata Peak,4372,14344,,"Sawatch Range, Colorado, US"
Mount Giluwe,4368,14331,,Papua New Guinea
Burchula,4364,14318,,"Caucasus Mountains, Georgia"
Uncompahgre Peak,4361,14308,,"San Juan Mountains, Colorado, US"
Dent Blanche,4357,14295,,"Pennine Alps, Switzerland"
Crestone Peak,4357,14295,,"Sangre de Cristo Range, Colorado, US"
Mount Lincoln,4354,14285,,"Mosquito Range, Colorado, US"
Azad Kuh,4355,14288,,"Alborz, Iran"
Grays Peak,4350,14272,,"Front Range, Colorado, US"
Mount Evans,4350,14272,,"Front Range, Colorado, US"
Quandary Peak,4350,14272,,"Tenmile Range, Colorado, US"
Lalveri,4350,14272,,"Caucasus Mountains, Svaneti, Georgia"
Mount Antero,4349,14268,,"Sawatch Range, Colorado, US"
Torreys Peak,4349,14268,,"Front Range, Colorado, US"
Castle Peak,4348,14265,,"Elk Mountains, Colorado, US"
Longs Peak,4346,14259,,"Front Range, Colorado, US"
McArthur Peak,4344,14252,,"Saint Elias Mountains, Yukon"
Mount Wilsion,4342,14245,,"San Juan Mountains, Colorado, US"
White Mountain Peak,4342,14245,,"White Mountains, California, US"
North Palisade,4341,14242,,"Sierra Nevada, California, US"
Ludwigshöhe (Monte Rosa),4341,14242,,"Pennine Alps, Switzerland-Italy"
Mount Shavano,4337,14229,,"Sawatch Range, Colorado, US"
Colima,4330,14206,,Mexico
Crestone Needle,4327,14196,,"Sangre de Cristo Range, Colorado, US"
Mount Belford,4327,14196,,"Sawatch Range, Colorado, US"
Mount Princeton,4327,14196,,"Sawatch Range, Colorado, US"
Mount Shasta,4322,14180,,"California, US"
Mount Elgon,4321,14177,,Uganda-Kenya
Mount Bross,4320,14173,,"Mosquito Range, Colorado, US"
Kit Carson Mountain,4318,14167,,"Sangre de Cristo Range, Colorado, US"
Mount Wrangell,4317,14163,,"Alaska, US"
Maroon Peak,4315,14157,,"Elk Mountains, Colorado, US"
Tabeguache Peak,4315,14157,,"Sawatch Range, Colorado, US"
El Diente Peak,4315,14157,,"San Juan Mountains, Colorado, US"
Mount Sill,4314,14154,,"Sierra Nevada, California, US"
Grand Combin,4313,14150,,"Pennine Alps, Switzerland"
Mount Oxford (Colorado),4313,14150,,"Sawatch Range, Colorado, US"
Mount Sneffels,4312,14147,,"San Juan Mountains, Colorado, US"
Mount Democrat,4312,14147,,"Mosquito Range, Colorado, US"
Capitol Peak,4307,14131,,"Elk Mountains, Colorado, US"
Pikes Peak,4302,14114,,"Front Range, Colorado, US"
Mount Russell,4296,14094,,"Sierra Nevada, California, US"
Snowmass Mountain,4295,14091,,"Elk Mountains, Colorado, US"
Lenzspitze,4294,14088,,"Pennine Alps, Switzerland"
Mount Eolus,4292,14081,,"San Juan Mountains, Colorado, US"
Windom Peak,4292,14081,,"San Juan Mountains, Colorado, US"
Challenger Point,4292,14081,,"Sangre de Cristo Range, Colorado, US"
Mount Columbia,4291,14078,,"Sawatch Range, Colorado, US"
Mount Adishi,4290,14075,,"Caucasus Mountains, Svaneti, Georgia"
Mount Augusta,4290,14075,,"Saint Elias Mountains, Alaska, US"
Humboldt Peak (Colorado),4287,14065,,"Sangre de Cristo Range, Colorado, US"
Split Mountain,4287,14065,,"Sierra Nevada, California, US"
Mount Bierstadt,4286,14062,,"Front Range, Colorado, US"
Diklosmta,4285,14058,,"Caucasus Mountains, Tusheti, Georgia"
Sunlight Peak,4285,14058,,"San Juan Mountains, Colorado, US"
Mount Sidley,4285,14058,,"Volcanic Seven Summits, Antarctica"
Missouri Mountain,4282,14049,,"Sawatch Range, Colorado, US"
Culebra Peak,4282,14049,,"Colorado, US"
Handies Peak,4281,14045,,"San Juan Mountains, Colorado, US"
Ellingwood Point,4280,14042,,"Sangre de Cristo Range, Colorado, US"
Mount Lindsey,4280,14042,,"Sangre de Cristo Range, Colorado, US"
Little Bear Peak,4279,14039,,"Sangre de Cristo Range, Colorado, US"
Mount Sherman,4278,14035,,"Mosquito Range, Colorado, US"
Redcloud Peak,4277,14032,,"San Juan Mountains, Colorado, US"
Galeras,4276,14029,,"Andes, Columbia"
Mount Langley,4275,14026,,"Sierra Nevada, California, US"
Finsteraarhorn,4274,14022,,"Bernese Alps, Switzerland"
Pyramid Peak,4273,14019,,"Elk Mountains, Colorado, US"
Mount Tyndall,4273,14019,,"Sierra Nevada, California, US"
Wilson Peak,4272,14016,,"San Juan Mountains, Colorado, US"
Mount Muir,4272,14016,,"Sierra Nevada, California, US"
San Luis Peak,4271,14012,,"San Juan Mountains, Colorado, US"
Wetterhorn Peak,4271,14012,,"San Juan Mountains, Colorado, US"
Middle Palisade,4271,14012,,"Sierra Nevada, California, US"
Huron Peak,4269,14006,,"Sawatch Range, Colorado, US"
Mount of the Holy Cross,4269,14006,,"Sawatch Range, Colorado, US"
Thunderbolt Peak,4268,14003,,"Sierra Nevada, California, US"
Sunshine Peak,4268,14003,,"San Juan Mountains, Colorado, US"
Mount Strickland,4260,13976,,"Saint Elias Mountains, Yukon, Canada"
Pigeon Peak,4259,13973,,"San Juan Mountains, Colorado, US"
Mount Kennedy,4250,13944,,"Saint Elias Mountains, Yukon, Canada"
Pointe Bayeux,4258,13970,,"Graian Alps, Mont Blanc massif, France"
Mont Blanc du Tacul,4248,13937,,"Graian Alps, Mont Blanc massif, France"
Stecknadelhorn,4241,13914,,"Pennine Alps, Switzerland"
Avalanche Peak,4228,13871,,"Saint Elias Mountains, Yukon, Canada"
Castor,4223,13855,,"Pennine Alps, Switzerland"
Zinalrothorn,4221,13848,,"Pennine Alps, Switzerland"
Volcán Tajumulco,4220,13845,,Guatemala
Hohberghorn,4219,13842,,"Pennine Alps, Switzerland"
Turret Peak,4217,13835,,"Needle Mountains, Colorado, US"
Mount Darwin,4216,13832,,"Sierra Nevada, California, US"
Mount Hayes,4216,13832,,"Alaska, US"
Sacabaya,4215,13829,,Bolivia
Grandes Jorasses,4208,13806,,"Mont Blanc massif, France/Italy"
Gannett Peak,4208,13806,,"Wind River Range, Wyoming, US"
Mauna Kea,4207,13802,,"Hawaii, US"
Alphubel,4206,13799,,"Pennine Alps, Switzerland"
Cofre de Perote,4201,13783,,Mexico
Zard-Kuh,4200,13780,,"Zagros Mountains, Iran"
Shah Alborz,4200,13780,,"Alborz, Iran"
Rimpfischhorn,4199,13776,,"Pennine Alps, Switzerland"
Grand Teton,4199,13776,,"Teton Range, Wyoming, US"
Mount Cook,4196,13766,,"Saint Elias Mountains, Canada/US"
Aletschhorn,4192,13753,,"Bernese Alps, Switzerland"
Strahlhorn,4190,13747,,"Pennine Alps, Switzerland"
Fremont Peak,4189,13743,,"Wind River Range, Wyoming, US"
Mount Warren,4182,13720,,"Wind River Range, Wyoming, US"
Mount Sidley,4181,13717,,Antarctica
Mount Abbot,4180,13714,,"California, US"
Dent d'Hérens,4171,13684,,"Pennine Alps, Switzerland"
Mauna Loa,4171,13684,,"Hawaii, US"
Jbel Toubkal,4167,13671,,"Atlas Mountains, Morocco"
Mount Minto,4165,13665,,Antarctica
Breithorn (Western Summit),4164,13661,,"Pennine Alps, Switzerland/Italy"
Jungfrau,4158,13642,,"Bernese Alps, Switzerland"
Bishorn,4153,13625,,"Pennine Alps, Switzerland"
Mount Helen,4151,13619,,"Wind River Range, Wyoming, US"
El Mela,4150,13615,,"Andes, Argentina"
Mount Quincy Adams,4150,13615,,"Fairweather Range, Canada/US"
Doublet Peak,4145,13599,,"Wind River Range, Wyoming, US"
Turret Peak,4145,13599,,"Wind River Range, Wyoming, US"
Mount Parnassus (Colorado),4137,13573,,"Front Range, Rocky Mountains, Colorado, US"
Uludoruk (Reşko / Gelyaşin),4137,13573,,"Cilo Daglari Hakkari, Turkey"
Mount Sacagawea,4136,13570,,"Wind River Range, Wyoming, US"
Mount Dubois,4135,13566,,"White Mountains, California, US"
Mount Muhabura,4127,13540,,"Virunga Mountains, Musanze, Rwanda"
Kings Peak,4125,13533,,"Uinta Range, Utah, US"
Aiguille Verte,4122,13524,,"Mont Blanc massif, France"
Mount Bangeta,4121,13520,,Papua New Guinea
Mount Dickerson,4120,13517,,"Queen Alexandra Range, Antarctica"
Monte Tlaloc,4120,13517,,"Mexican Volcanic Belt, Mexico – Archaeological ruins at summit"
Jackson Peak,4120,13517,,"Wind River Range, Wyoming, US"
Cilo Dağı,4116,13504,,"Cilo Range, Eastern Taurus, Turkey"
Mount Woodrow Wilson,4115,13501,,"Wind River Range, Wyoming, US"
Aiguilles du Diable,4114,13497,,"Graian Alps, Mont Blanc massif, France"
Bastion Peak,4113,13494,,"Wind River Range, Wyoming"
Aiguille Blanche de Peuterey,4112,13491,,"Mont Blanc massif, Italy"
Mönch,4107,13474,,"Bernese Alps, Switzerland"
Mount Febbas,4105,13468,,"Wind River Range, Wyoming, US"
Barre des Écrins,4102,13458,,"Dauphiné Alps, France"
Mount Aragats,4095,13435,,Armenia
Mount Cameroon,4095,13435,,Cameroon
Mount Kinabalu,4095,13435,,"Sabah, Malaysia – Highest in Malaysia"
Grizzly Peak D,4093,13428,,"Front Range, Rocky Mountains, Colorado, US"
Pollux,4092,13425,,"Pennine Alps, Switzerland"
Mount Wade,4085,13402,,"Prince Olav Mountains, Antarctica"
Nairamdal Peak,4082,13392,,"Altai Mountains, Mongolia"
Mount Victoria,4072,13360,,Papua New Guinea
Centennial Peak,4070,13353,,"Prince Olav Mountains, Antarctica"
Gran Paradiso,4061,13323,,"Graian Alps, Italy"
Ober Gabelhorn,4053,13297,,"Pennine Alps, Switzerland"
Piz Bernina,4049,13284,,"Bernina Alps, Switzerland"
Fiescherhorn,4049,13284,,"Bernese Alps, Switzerland"
Grünhorn,4043,13264,,"Bernese Alps, Switzerland"
Lauteraarhorn,4042,13261,,"Bernese Alps, Switzerland"
Aiguille du Géant,4035,13238,,"Graian Alps, Mont Blanc massif, France"
Mount Silverthrone,4030,13222,,"Alaska Range, Alaska, US"
Mount Sniktau,4034,13235,,"Front Range, Rocky Mountains, Colorado, US"
Azufral,4030,13222,,Colombia
Allalinhorn,4027,13212,,"Pennine Alps, Switzerland"
Wind River Peak,4021,13192,,"Wind River Range, Wyoming, US"
Latsga,4019,13186,,"Caucasus Mountains, Svaneti, Georgia"
Weissmies,4017,13179,,"Pennine Alps, Switzerland"
Mount Waddington,4016,13176,,"British Columbia, Canada"
Mount Marcus Baker,4016,13176,,"Chugach Range, Alaska, US"
Dôme de neige des Écrins,4015,13173,,"Dauphiné Alps, France"
Conejos Peak,4015,13173,,"San Juan Mountains, Colorado, US"
Dent du Géant,4013,13166,,"Mont Blanc massif, France/Italy"
Red Slate Mountain,4013,13166,,"Sierra Nevada, California, US"
Cloud Peak,4013,13166,,"Big Horn Mountains, Wyoming, US"
Wheeler Peak,4012,13163,,"Sangre de Cristo Mountains, New Mexico, US"
Lagginhorn,4010,13156,,"Pennine Alps, Switzerland"
Twilight Peak,4010,13156,,"San Juan Mountains, Colorado, US"
Francs Peak,4009,13153,,"Absaroka Range, Wyoming, US"
Mount Lahili,4009,13153,,"Svaneti Range, Svaneti, Georgia"
Mount Walter,4005,13140,,"New Mexico, US"
Les Droites,4000,13123,,"Mont Blanc massif, France"
Piz Zupò,3995,13107,,"Bernina Range, Switzerland"
Truchas Peak,3994,13104,,"Sangre de Cristo Mountains, New Mexico"
Fletschhorn,3993,13100,,"Pennine Alps, Switzerland"
Mount Albert Edward,3990,13091,,Papua New Guinea
La Meije,3987,13081,,"Dauphiné Alps, France"
Wheeler Peak,3982,13064,,"Snake Range, Nevada"
Mount Dana,3981,13061,,California
Acatenango,3976,13045,,Guatemala
Piz Roseg,3973,13035,,"Bernina Range, Switzerland"
Piz Scerscen,3971,13028,,"Bernina Range, Switzerland"
Eiger,3967,13015,,"Bernese Oberland, Switzerland"
Mount Tochal,3964,13005,,"Alborz, Iran"
Black Tooth Mountain,3964,13005,,"Bighorn Mountains, Wyoming"
Grand Cornier,3962,12999,,"Pennine Alps, Switzerland"
Mount Owen,3957,12982,,"Teton Range, Wyoming"
Ailefroide,3954,12972,,"Dauphiné Alps, France"
Mount Robson,3954,12972,,Highest point in the Canadian Rockies
Descabezado Grande,3953,12969,,Chile
Yu Shan (Mount Jade),3952,12966,,Highest point in Taiwan and East Asia
Mont Pelvoux,3946,12946,,"Dauphiné Alps, France"
Mount Julian,3940,12927,,"Colorado, United States"
Mount Khalatsa,3938,12920,,"Disputed, South Ossetia or Georgia"
Ajusco,3930,12894,,Mexico
Mount Erciyes,3916,12848,,"Central Anatolia, Turkey"
Bomber Mountain,3914,12841,,"Bighorn Range, Wyoming, United States"
Pic Sans Nom,3919,12858,,"Dauphiné Alps, France"
Jicarita Peak,3912,12835,,"Sangre de Cristo Mountains, New Mexico"
Ortler,3905,12812,,Italy South Tyrol
Piz Palü,3905,12812,,"Bernina Range, Switzerland"
Middle Teton,3903,12805,,"Teton Range, Wyoming"
Aiguille d'Argentière,3902,12802,,"Mont Blanc massif, France/Switzerland"
Granite Peak,3901,12799,,"Montana, US – Highest point"
Mount Gibbs,3893,12772,,"Sierra Nevada, California, US"
Mount Crillon,3879,12726,,"Fairweather Range, Alaska, US"
Mont Blanc de Cheilon,3870,12697,,"Pennine Alps, Switzerland"
Aiguille du Goûter,3863,12674,,"Graian Alps, Mont Blanc massif, France"
Borah Peak,3861,12667,,"Idaho, US – Highest point"
Grande Casse,3855,12648,,"Vanoise Massif, France"
Humphreys Peak,3852,12638,,"Arizona, US – Highest point"
Santa Fe Baldy,3847,12621,,"Sangre de Cristo Mountains, New Mexico"
Mount Baldwin,3845,12615,,"Sierra Nevada, California, US"
Aiguille du Midi,3842,12605,,"Graian Alps, Mont Blanc Massif, France"
Mount Moran,3842,12605,,"Wyoming, US"
Monte Viso,3841,12602,,Italian Alps
Sauyr Zhotasy,3840,12598,,Kazakhstan
Mount Saramati,3826,12552,,"Patkai Range, Nagaland, India"
Nesthorn,3822,12539,,"Bernese Alps, Switzerland"
Cerro Chirripó,3820,12533,,Highest in Costa Rica
Aiguille des Glaciers,3816,12520,,"Mont Blanc massif, France/Italy"
South Teton,3814,12513,,"Teton Range, Wyoming"
La Râteau,3809,12497,,"Dauphiné Alps, France"
Mount Kerinci,3800,12467,,Highest volcano in Indonesia
Grossglockner,3798,12461,,Austria – Highest point
Pigne d'Arolla,3796,12454,,"Pennine Alps, Switzerland"
Mount Erebus,3794,12448,,Antarctica – Southernmost active volcano
Mont Pourri,3779,12398,,"Vanoise Massif, France"
Mount Fuji,3776,12388,,Japan – Highest in Japan
Wildspitze,3774,12382,,Austria
Greenhorn Mountain,3763,12346,,"Wet Mountains, Colorado, US"
Volcán de Fuego,3763,12346,,Guatemala
Mount Villard,3760,12336,,"Montana, US"
Teewinot Mountain,3757,12326,,"Teton Range, Wyoming, US"
Aiguille du Dru,3754,12316,,"Graian Alps, France"
Aoraki / Mount Cook,3754,12316,,New Zealand – Highest point in New Zealand
Pointe de Charbonnel,3752,12310,,"Graian Alps, France"
Piz Morteratsch,3751,12306,,"Bernina Range, Switzerland"
Sawtooth Mountain,3750,12303,,"Front Range, Colorado, US"
Mount Davis,3750,12303,,"California, US"
Mount Morrison,3750,12303,,"California, US"
Mount Taibai,3750,12303,,"Qin Mountains, China – Highest point east of Tibetan massif"
Aiguille de la Grande Sassière,3747,12293,,"Graian Alps, France"
Lanín,3747,12293,,"Andes, Chile/Argentina"
Mount Adams,3743,12280,,"Cascade Range, Washington, US"
Mount Columbia,3747,12293,,Canadian Rockies – Highest in Alberta
Mount Adams,3743,12280,,"Washington, US"
Teepe Pillar,3739,12267,,"Teton Range, Wyoming, US"
Weißkugel,3739,12267,,"Alps, Austria/Italy"
Minarets,3735,12254,,"Sierra Nevada, California"
Mount Huntington,3731,12241,,"Alaska Range, Alaska, US"
Bedori Peak,3727,12228,,"Forward Kahuta, Azad Kashmir, Pakistan"
Mount Rinjani,3726,12224,,Indonesia
Cerro del Potosí,3721,12208,,Mexico
Diamond Peak,3719,12201,,"Idaho, US"
Teide,3718,12198,,Canary Islands – Highest in Spain
Asperity Mountain,3716,12192,,Waddington Range
Cerro de la Viga,3712,12178,,Mexico
Delano Peak,3711,12175,,"Utah, US - Highest peak in the Tushar Mountains"
Sahand,3707,12162,,"East Azerbaijan, Iran"
Monte San Lorenzo,3706,12159,,"Patagonia, Argentina-Chile"
Wetterhorn,3701,12142,,"Bernese Alps, Switzerland"
Mount Valhalla,3699,12136,,"Alaska, US"
Dent Parrachée,3697,12129,,"Vanoise massif, France"
Gunnbjørn,3694,12119,,highest in Greenland
North Twin Peak,3684,12087,,Canadian Rockies
Monte Disgrazia,3678,12067,,"Bregaglia, Switzerland"
Semeru,3676,12060,,"Java, Indonesia"
Les Bans,3669,12037,,"Ecrins, France"
Cloudveil Dome,3666,12028,,"Teton Range, Wyoming, US"
Thor Peak,3666,12028,,"Teton Range, Wyoming, United States"
Medicine Bow Peak,3661,12011,,"Wyoming, US"
Hyndman Peak,3660,12008,,"Idaho, US"
Mount Clemenceau,3658,12001,,Canadian Rockies
Mount Frakes,3654,11988,,"Crary Mountains, Antarctica"
Grande Motte,3653,11985,,"Vanoise Massif, France"
Sierra Blanca,3652,11982,,"Sacramento Mountains, New Mexico"
Pointe de la Fournache,3642,11949,,"Vanoise massif, France"
Buck Mountain,3639,11939,,"Teton Range, Wyoming"
Mount Nebo,3636,11929,,"Utah, US"
Mount Charleston,3632,11916,,"Nevada, US"
Hintere Schwärze,3628,11903,,"Ötztal Alps, Austria/Italy"
Nez Perce Peak,3627,11900,,"Teton Range, Wyoming, US"
Mount Alberta,3619,11873,,Canadian Rockies
Mount Assiniboine,3618,11870,,Canadian Rockies
Tödi,3614,11857,,Swiss Alps
Mount Forbes,3612,11850,,Canadian Rockies
Lautaro,3607,11834,,"Patagonia, Chile"
Dôme de la Sache,3601,11814,,"Vanoise massif, France"
Castle Peak,3601,11814,,"Idaho, US"
Dôme de l'Arpont,3601,11814,,"Vanoise massif, France"
Dôme de Chasseforêt,3586,11765,,"Vanoise massif, France"
Makra Peak,3586,11765,,Pakistan
Sierra Velluda,3585,11762,,Chile
Grand Roc Noir,3582,11752,,"Vanoise massif, France"
Mount Timpanogos,3582,11752,,"Utah, United States"
Mount Alvand,3580,11745,,"Hamedan, Iran"
Dôme des Nants,3570,11713,,"Vanoise massif, France"
Ryan Peak,3570,11713,,"Idaho, US"
South Twin Peak,3566,11699,,Canadian Rockies
Olan,3564,11693,,"Ecrins, France"
Aiguille de Péclet,3561,11683,,"Vanoise massif, France"
Presanella,3558,11673,,"Adamello-Presanella, Italy"
Mount Steere,3558,11673,,Antarctica
Monarch Mountain,3555,11663,,"Pacific Ranges, British Columbia, Canada"
Monte Leone,3552,11654,,"Lepontine Alps, Switzerland"
Mont Turia,3550,11647,,"Vanoise massif, France"
Mount Temple,3543,11624,,Canadian Rockies
Disappointment Peak,3541,11617,,"Teton Range, Wyoming"
Mount Woodring,3533,11591,,"Teton Range, Wyoming"
Aiguille de Polset,3531,11585,,"Vanoise Massif, France"
Snow Dome,3520,11549,,Canadian Rockies
Aiguilles d'Arves,3515,11532,,"Arve Massif, France"
Mount Ellen (Utah),3513,11526,,"Henry Mountains, Utah, US – Last surveyed mountain range in US lower 48 states"
Mont de Gébroulaz,3511,11519,,"Vanoise massif, France"
Mount San Gorgonio,3505,11499,,"California, US"
Mount Kitchener,3505,11499,,Canadian Rockies
Zuckerhütl,3505,11499,,"Stubai Alps, Austria"
Mount Wister,3502,11490,,"Teton Range, Wyoming"
Mount Saskatchewan,3500,11483,,"Yukon, Canada"
Mount Tasman,3497,11473,,"Southern Alps, New Zealand"
Mount Hungabee,3492,11457,,Canadian Rockies
Mount Athabasca,3491,11453,,Canadian Rockies
Tronador,3491,11453,,Chile/Argentina
Mount Saint John,3484,11430,,"Teton Range, Wyoming"
Thabana Ntlenyana,3482,11424,,"Drakensberg, Africa"
Pointes du Châtelard,3479,11414,,"Vanoise massif, France"
Mulhacén,3479,11414,,Spain – Highest in continental Spain
Mount Berlin,3478,11411,,"Flood Range, Antarctica"
Mount Pennell,3478,11411,,"Henry Mountains, Utah, US."
Volcán Barú,3475,11401,,"Chiriquí, Panama"
Koh-i-Takatu Sraghurgai,3472,11391,,"Quetta Sraghurgai, Suleman Range, Pakistan – 2nd Highest Peak in Balochistan Province"
Roc des Saints Pères,3470,11385,,"Vanoise massif, France"
Mount Brazeau,3470,11385,,Canadian Rockies
Mount Nyiragongo,3470,11385,,"Virunga Mountains, DRC"
Ruby Dome,3470,11385,,"Ruby Mountains, Nevada"
Roche de la Muzelle,3465,11368,,"Dauphine Alps, France"
Mount Victoria,3464,11365,,Canadian Rockies
Abajo Peak,3463,11362,,"Abajo Mountains, Utah"
Eagle Peak,3462,11358,,"Absaroka Range, Wyoming, United States"
Doane Peak,3461,11355,,"Teton Range, Wyoming, US"
Ranger Peak,3461,11355,,"Teton range, Wyoming, US"
Mount Takahe,3460,11352,,Antarctica
Cerro de la Muerte,3451,11322,,Second highest in Costa Rica
Furgghorn,3451,11322,,"Pennine Alps, Switzerland"
Mafadi,3450,11319,,"Drakensberg, South Africa"
Mount Andromeda,3450,11319,,Canadian Rockies
Boulder Mountain,3449,11316,,"Utah, US. Highest timbered plateau in N America"
Mount Joffre,3449,11316,,Canadian Rockies
Hilgard Peak,3449,11316,,"Madison Range, Montana, US"
Static Peak,3445,11302,,"Teton Range, Wyoming, US"
Thousand Lake Mountain,3444,11299,,"Utah, US"
Pointe de la Sana,3436,11273,,"Vanoise massif, France"
Eagles Rest Peak,3431,11257,,"Teton Range, Wyoming, US"
Irazú Volcano,3431,11257,,Costa Rica
Mount Hood,3429,11250,,"Cascade Range, Oregon, US"
Verpeilspitze,3425,11237,,Austria
Deltaform Mountain,3424,11234,,Canadian Rockies
Mount Lefroy,3423,11230,,Canadian Rockies
Pointe de l'Échelle,3422,11227,,"Vanoise massif, France"
Pointe du Bouchet,3420,11220,,"Vanoise massif, France"
Mount Fitzgerald,3418,11214,,"Ruby Mountains, Nevada, US"
Bellecôte,3417,11211,,"Vanoise massif, France"
Crazy Peak,3417,11211,,"Montana, US"
Emi Koussi,3415,11204,,"Tibesti Mountains, Chad"
Piz Linard,3410,11188,,Switzerland
Mount Woolley,3405,11171,,Canadian Rockies
Aneto,3404,11168,,"Pyrenees, Spain – Highest in Pyrenees"
Lone Mountain,3404,11168,,"Madison Range, Montana, US"
Fluchthorn,3399,11152,,"Silvretta, Austria-Switzerland"
Grand Bec,3398,11148,,"Vanoise massif, France"
Rockchuck Peak,3397,11145,,"Teton Range, Wyoming"
Pico Veleta,3396,11142,,"Sierra Nevada, Spain – Location of the highest road in Europe"
Mount Hector,3394,11135,,Canadian Rockies
Piz Platta,3392,11129,,Swiss Alps
Telescope Peak,3392,11129,,Death Valley
Champagne Castle,3377,11079,,"Drakensberg, South Africa"
Pic Uzu,3376,11076,,"Tibesti, Libya-Chad"
Cerro Chaltén,3375,11073,,"Patagonia, Argentina-Chile"
Mount Spurr,3374,11070,,Alaska
Pointe du Vallonnet,3372,11063,,"Vanoise massif, France"
Mammoth Mountain,3371,11060,,California
Fründenhorn,3369,11053,,"Bernese Alps, Switzerland"
Pointe Renod,3368,11050,,"Vanoise massif, France"
Traverse Peak,3368,11050,,"Teton Range, Wyoming"
Mount Edith Cavell,3363,11033,,Canadian Rockies
Dôme des Sonnailles,3361,11027,,"Vanoise massif, France"
Valvelspitze,3360,11024,,Austria
Mount Etna,3357,11014,,"Metropolitan City of Catania, Italy"
Mount Agepsta,3357,11014,,"Gagra Range, Abkhazia, Georgia"
Mount Munday,3356,11010,,"Pacific Ranges, B.C., Canada"
Pointe de Claret,3355,11007,,"Vanoise massif, France"
Monte Perdido,3355,11007,,Pyrenees
Electric Peak,3343,10968,,"Gallatin Range, Montana"
Marmolada,3343,10968,,"Dolomites, Italy – Highest mountain of the Dolomites"
Mount Saskatchewan,3342,10965,,Canadian Rockies
Cerro Fábrega,3335,10942,,"Bocas Del Toro, Panama"
Ward Mountain,3333,10935,,"Nevada, US"
Pointe de Méan Martin,3330,10925,,"Vanoise massif, France"
Dôme de Polset,3326,10912,,"Vanoise massif, France"
Cathedral Peak,3326,10912,,"California, US"
Raynolds Peak,3325,10909,,"Teton Range, Wyoming"
Rolling Thunder Mountain,3324,10906,,"Teton Range, Wyoming"
Mount Hampton,3323,10902,,Antarctica
Dôme des Pichères,3319,10889,,"Vanoise massif, France"
Grand Roc,3316,10879,,"Vanoise massif, France"
Giant's Castle,3315,10876,,"Drakensberg, South Africa"
Sunwapta Peak,3315,10876,,Canadian Rockies
Piz Buin,3312,10866,,"Silvretta, Austria-Switzerland"
Mount Ball,3311,10863,,Canadian Rockies
Piz Badile,3308,10853,,"Bregaglia, Switzerland"
Ağ Dağ,3306,10846,,"Bozgush mountain range, East Azerbaijan, Iran"
San Jacinto Peak,3302,10833,,"California, US"
Didi Abuli,3301,10830,,Georgia
Silberhorn,3300,10827,,"Southern Alps, New Zealand"
Bivouac Peak,3299,10823,,"Teton Range, Wyoming"
Mount Wilbur,3298,10820,,"Fairweather Range, Alaska, US"
Monte Argentera,3297,10817,,"Maritime Alps, Italy"
Mount Rose (Nevada),3287,10784,,"Carson Range, Nevada"
Mount Samsari,3285,10778,,"Abul-Samsari Range, Georgia"
Roche Chevrière,3281,10764,,"Vanoise massif, France"
Habicht,3277,10751,,"Stubai Alps, Austria"
Thompson Peak,3277,10751,,"Idaho, US"
Mount Chephren,3266,10715,,Canadian Rockies
Pointe de Thorens,3266,10715,,"Vanoise massif, France"
Mount Cramer,3266,10715,,"Idaho, US"
Toussidé,3265,10712,,"Tibesti Mountains, Chad-Libya"
Antelao,3264,10709,,"Dolomites, Italy"
Mont Pelve,3261,10699,,"Vanoise massif, France"
Mount Stanley Baldwin,3256,10682,,"Columbia Mountains, B.C., Canada"
Sandia Crest,3255,10679,,"New Mexico, US"
Épaule du Bouchet,3250,10663,,"Vanoise massif, France"
Mount Smythe,3246,10650,,Canadian Rockies
Wildstrubel,3243,10640,,"Bernese Alps, Switzerland"
Williams Peak,3242,10636,,"Idaho, US"
Mount Hope,3239,10627,,"Highest British mountain, British Antarctic Territory"
Titlis,3238,10623,,"Bernese Alps, Switzerland"
Owl Peak,3235,10614,,"Teton Range, Wyoming"
Mount Mackenzie King,3234,10610,,"Cariboo Mountains, B.C., Canada"
Pointe des Buffettes,3233,10607,,"Vanoise massif, France"
Lisenser Spitze,3230,10597,,"Stubai Alps, Austria"
Mount Terror,3230,10597,,Antarctica
Aiguille Rouge,3227,10587,,"Vanoise massif, France"
Monte Civetta,3220,10564,,"Dolomites, Italy"
Symmetry Spire,3219,10561,,"Teton Range, Wyoming"
Glacier Peak,3213,10541,,"Washington, US"
Pointe du Dard,3212,10538,,"Vanoise massif, France"
Mount Binalud,3211,10535,,"Alborz, Iran"
Pointe de la Réchasse,3206,10518,,"Vanoise massif, France"
Mount Jefferson,3204,10512,,"Montana, US"
Mount Jefferson,3199,10495,,"Cascade Range, Oregon, US"
Dreiländerspitze,3197,10489,,"Silvretta, Austria-Switzerland"
Mount Kita,3193,10476,,"Akaishi Mountains, Japan"
Mount Hotaka,3190,10466,,"Hida Mountains, Japan"
Mount Cleveland,3190,10466,,"Montana, US"
Ainodake,3189,10463,,"Akaishi Mountains, Japan"
Lassen Peak,3189,10463,,"California, US"
